id,participant_id,timestamp,pagetime,item,action,message,combined,combined_num
4036,121,2017-08-25 16:34:41,0,next_button,click,,next_button click,14
4037,121,2017-08-25 16:34:43,0,next_button,click,,next_button click,14
4038,121,2017-08-25 16:34:44,0,next_button,click,,next_button click,14
4039,121,2017-08-25 16:34:45,0,next_button,click,,next_button click,14
4040,121,2017-08-25 16:34:49,0,back_button,rewind,,back_button rewind,15
4041,121,2017-08-25 16:35:04,0,back_button,rewind,,back_button rewind,15
4042,121,2017-08-25 16:49:58,0,next_button,click,,next_button click,14
4043,121,2017-08-25 16:49:58,0,next_button,click,,next_button click,14
4044,121,2017-08-25 16:49:58,0,next_button,click,,next_button click,14
4045,121,2017-08-25 16:50:00,0,next_button,click,,next_button click,14
4046,121,2017-08-25 16:50:02,0,next_button,click,,next_button click,14
4047,121,2017-08-25 16:50:06,0,next_button,click,,next_button click,14
4048,121,2017-08-25 16:51:27,0,full_screen_button,fullscreen,,full_screen_button fullscreen,27
4049,121,2017-08-25 16:51:28,0,full_screen_button,collapsed,,full_screen_button collapsed,19
4349,112,2017-08-25 18:06:24,0,play_pause_button,play,,play_pause_button play,9
4350,112,2017-08-25 18:06:42,0,full_screen_button,fullscreen,,full_screen_button fullscreen,27
4352,112,2017-08-25 18:07:20,0,play_pause_button,pause,,play_pause_button pause,16
4353,112,2017-08-25 18:07:22,0,full_screen_button,collapsed,,full_screen_button collapsed,19
4393,112,2017-08-25 18:11:46,0,play_pause_button,play,,play_pause_button play,9
4395,112,2017-08-25 18:11:47,0,play_pause_button,pause,,play_pause_button pause,16
4396,112,2017-08-25 18:11:58,0,play_pause_button,play,,play_pause_button play,9
4397,112,2017-08-25 18:12:00,0,full_screen_button,fullscreen,,full_screen_button fullscreen,27
4404,112,2017-08-25 18:12:37,0,full_screen_button,fullscreen,,full_screen_button fullscreen,27
4405,112,2017-08-25 18:12:40,0,play_pause_button,play,,play_pause_button play,9
