id,participant_id,timestamp,pagetime,item,action,message,condition
1224,221,"2017-08-19 15:49:59",0,cooking_for,2,NULL,1
1225,221,"2017-08-19 15:50:45",0,not_quite_button,click,NULL,1
1226,221,"2017-08-19 15:50:50",0,experience_level,not_really,NULL,1
1227,221,"2017-08-19 15:50:53",0,cook_reason,dinner,NULL,1
1228,221,"2017-08-19 15:51:00",0,cooking_for,1,NULL,1
1229,221,"2017-08-19 15:51:13",0,not_quite_button,click,NULL,1
1230,221,"2017-08-19 15:51:16",0,experience_level,not_really,NULL,1
1231,221,"2017-08-19 15:51:17",0,cook_reason,dinner,NULL,1
1232,221,"2017-08-19 15:51:20",0,cooking_for,2,NULL,1
1233,221,"2017-08-19 15:52:27",0,confirm_cook,click,NULL,1
1234,221,"2017-08-19 15:52:45",0,cardView,toggle,NULL,1
1235,221,"2017-08-19 15:53:03",0,next_button,click,NULL,1
1236,221,"2017-08-19 15:53:12",0,next_button,click,NULL,1
1237,221,"2017-08-19 15:54:04",0,next_button,click,NULL,1
1238,221,"2017-08-19 15:54:06",0,next_button,click,NULL,1
1239,221,"2017-08-19 15:54:10",0,next_button,click,NULL,1
1240,221,"2017-08-19 15:54:21",0,next_button,click,NULL,1
1241,221,"2017-08-19 15:54:25",0,next_button,click,NULL,1
1242,221,"2017-08-19 15:54:32",0,next_button,click,NULL,1
1243,221,"2017-08-19 15:54:38",0,back_button,rewind,NULL,1
1244,221,"2017-08-19 15:54:39",0,back_button,rewind,NULL,1
1245,221,"2017-08-19 15:54:40",0,back_button,rewind,NULL,1
1246,221,"2017-08-19 15:54:41",0,back_button,rewind,NULL,1
1247,221,"2017-08-19 15:54:43",0,back_button,rewind,NULL,1
1248,221,"2017-08-19 15:54:45",0,back_button,rewind,NULL,1
1249,221,"2017-08-19 15:57:03",0,next_button,click,NULL,1
1250,221,"2017-08-19 16:01:35",0,next_button,click,NULL,1
1251,221,"2017-08-19 16:01:55",0,next_button,click,NULL,1
1252,221,"2017-08-19 16:02:22",0,next_button,click,NULL,1
1253,221,"2017-08-19 16:02:25",0,back_button,rewind,NULL,1
1254,221,"2017-08-19 16:02:29",0,back_button,rewind,NULL,1
1255,221,"2017-08-19 16:05:25",0,cardView,toggle,NULL,1
1256,221,"2017-08-19 16:06:06",0,video_end,ended,NULL,1
1257,221,"2017-08-19 16:06:08",0,cardView,toggle,NULL,1
1258,221,"2017-08-19 16:06:16",0,cardView,toggle,NULL,1
1259,221,"2017-08-19 16:06:24",0,cardView,toggle,NULL,1
1260,221,"2017-08-19 16:09:22",0,next_button,click,NULL,1
1261,221,"2017-08-19 16:10:27",0,cardView,toggle,NULL,1
1262,221,"2017-08-19 16:11:16",0,video_end,ended,NULL,1
1263,221,"2017-08-19 16:13:11",0,cardView,toggle,NULL,1
1264,221,"2017-08-19 16:13:13",0,next_button,click,NULL,1
1265,221,"2017-08-19 16:13:41",0,cardView,toggle,NULL,1
1266,221,"2017-08-19 16:14:08",0,cardView,toggle,NULL,1
1267,221,"2017-08-19 16:14:11",0,cardView,toggle,NULL,1
1268,221,"2017-08-19 16:14:13",0,back_button,back,NULL,1
1269,221,"2017-08-19 16:14:16",0,next_button,click,NULL,1
1270,221,"2017-08-19 16:14:17",0,back_button,rewind,NULL,1
1271,221,"2017-08-19 16:14:22",0,cardView,toggle,NULL,1
1272,221,"2017-08-19 16:14:27",0,cardView,toggle,NULL,1
1273,221,"2017-08-19 16:15:25",0,video_end,ended,NULL,1
1274,221,"2017-08-19 16:16:50",0,next_button,click,NULL,1
1275,221,"2017-08-19 16:16:54",0,cardView,toggle,NULL,1
1276,221,"2017-08-19 16:17:27",0,next_button,click,NULL,1
1277,221,"2017-08-19 16:17:41",0,back_button,rewind,NULL,1
1278,221,"2017-08-19 16:17:44",0,cardView,toggle,NULL,1
1279,221,"2017-08-19 16:18:02",0,video_end,ended,NULL,1
1280,221,"2017-08-19 16:18:24",0,next_button,click,NULL,1
1281,221,"2017-08-19 16:19:06",0,video_end,ended,NULL,1
1282,221,"2017-08-19 16:19:39",0,next_button,click,NULL,1
1283,221,"2017-08-19 16:20:23",0,video_end,ended,NULL,1
1284,221,"2017-08-19 16:20:28",0,next_button,click,NULL,1
1285,221,"2017-08-19 16:21:07",0,video_end,ended,NULL,1
1286,221,"2017-08-19 16:21:13",0,cardView,toggle,NULL,1
1287,221,"2017-08-19 16:21:15",0,next_button,click,NULL,1
1288,221,"2017-08-19 16:21:35",0,back_button,rewind,NULL,1
1289,221,"2017-08-19 16:21:36",0,back_button,rewind,NULL,1
1290,221,"2017-08-19 16:21:38",0,back_button,rewind,NULL,1
1291,221,"2017-08-19 16:23:30",0,next_button,click,NULL,1
1292,221,"2017-08-19 16:24:50",0,next_button,click,NULL,1
1293,221,"2017-08-19 16:24:54",0,next_button,click,NULL,1
1294,221,"2017-08-19 16:25:41",0,back_button,rewind,NULL,1
1295,221,"2017-08-19 16:25:43",0,back_button,rewind,NULL,1
1296,221,"2017-08-19 16:25:46",0,next_button,click,NULL,1
1297,221,"2017-08-19 16:26:13",0,next_button,click,NULL,1
1298,221,"2017-08-19 16:26:24",0,back_button,rewind,NULL,1
1299,221,"2017-08-19 16:27:11",0,back_button,rewind,NULL,1
1300,221,"2017-08-19 16:27:25",0,next_button,click,NULL,1
1301,221,"2017-08-19 16:27:27",0,next_button,click,NULL,1
1302,221,"2017-08-19 16:28:56",0,next_button,click,NULL,1
1303,221,"2017-08-19 16:29:46",0,next_button,click,NULL,1
1304,221,"2017-08-19 16:29:52",0,next_button,click,NULL,1
1305,221,"2017-08-19 16:30:00",0,back_button,rewind,NULL,1
1306,221,"2017-08-19 16:30:04",0,back_button,rewind,NULL,1
1307,221,"2017-08-19 16:30:36",0,cardView,toggle,NULL,1
1308,221,"2017-08-19 16:31:28",0,video_end,ended,NULL,1
1309,221,"2017-08-19 16:31:46",0,next_button,click,NULL,1
1310,221,"2017-08-19 16:32:57",0,video_end,ended,NULL,1
1311,221,"2017-08-19 16:33:20",0,cardView,toggle,NULL,1
1312,221,"2017-08-19 16:33:22",0,back_button,rewind,NULL,1
1313,221,"2017-08-19 16:33:27",0,next_button,click,NULL,1
1314,221,"2017-08-19 16:33:28",0,next_button,click,NULL,1
1315,221,"2017-08-19 16:33:32",0,back_button,rewind,NULL,1
1316,221,"2017-08-19 16:33:37",0,next_button,click,NULL,1
1317,221,"2017-08-19 16:33:38",0,cardView,toggle,NULL,1
1318,221,"2017-08-19 16:36:27",0,video_end,ended,NULL,1
1319,221,"2017-08-19 16:36:58",0,cardView,toggle,NULL,1
1320,221,"2017-08-19 16:37:01",0,back_button,rewind,NULL,1
1321,221,"2017-08-19 16:37:03",0,back_button,rewind,NULL,1
1322,221,"2017-08-19 16:37:06",0,next_button,click,NULL,1
1323,221,"2017-08-19 16:37:54",0,next_button,click,NULL,1
1324,221,"2017-08-19 16:37:57",0,back_button,rewind,NULL,1
1325,221,"2017-08-19 16:38:04",0,next_button,click,NULL,1
1326,221,"2017-08-19 16:38:17",0,cardView,toggle,NULL,1
1327,209,"2017-08-19 16:39:04",0,play_pause_button,play,NULL,1
1328,221,"2017-08-19 16:40:30",0,cardView,toggle,NULL,1
1329,124,"2017-08-19 16:40:50",0,play_pause_button,play,NULL,2
1330,209,"2017-08-19 16:41:43",0,select_recipe,mullet,NULL,1
1331,209,"2017-08-19 16:41:49",0,experience_level,lots,NULL,1
1332,209,"2017-08-19 16:41:54",0,cook_reason,dinner,NULL,1
1333,209,"2017-08-19 16:42:00",0,cooking_for,2,NULL,1
1334,209,"2017-08-19 16:42:14",0,not_quite_button,click,NULL,1
1335,221,"2017-08-19 16:42:16",0,next_button,click,NULL,1
1336,209,"2017-08-19 16:42:17",0,experience_level,lots,NULL,1
1337,209,"2017-08-19 16:42:18",0,cook_reason,dinner,NULL,1
1338,209,"2017-08-19 16:42:21",0,cooking_for,1,NULL,1
1339,221,"2017-08-19 16:42:46",0,next_button,click,NULL,1
1340,221,"2017-08-19 16:42:50",0,back_button,rewind,NULL,1
1341,221,"2017-08-19 16:42:51",0,cardView,toggle,NULL,1
1342,209,"2017-08-19 16:43:23",0,confirm_cook,click,NULL,1
1343,221,"2017-08-19 16:43:36",0,video_end,ended,NULL,1
1344,209,"2017-08-19 16:43:39",0,video_end,ended,NULL,1
1345,209,"2017-08-19 16:43:49",0,next_button,click,NULL,1
1346,221,"2017-08-19 16:44:24",0,next_button,click,NULL,1
1347,221,"2017-08-19 16:44:28",0,cardView,toggle,NULL,1
1348,221,"2017-08-19 16:44:43",0,cardView,toggle,NULL,1
1349,209,"2017-08-19 16:45:20",0,video_end,ended,NULL,1
1350,209,"2017-08-19 16:45:23",0,next_button,click,NULL,1
1351,221,"2017-08-19 16:45:25",0,video_end,ended,NULL,1
1352,221,"2017-08-19 16:45:27",0,next_button,click,NULL,1
1353,209,"2017-08-19 16:45:41",0,play_pause_button,pause,NULL,1
1354,209,"2017-08-19 16:45:56",0,play_pause_button,play,NULL,1
1355,209,"2017-08-19 16:46:07",0,video_end,ended,NULL,1
1356,209,"2017-08-19 16:46:13",0,next_button,click,NULL,1
1357,221,"2017-08-19 16:46:49",0,video_end,ended,NULL,1
1358,221,"2017-08-19 16:46:54",0,next_button,click,NULL,1
1359,221,"2017-08-19 16:47:13",0,video_end,ended,NULL,1
1360,221,"2017-08-19 16:47:19",0,next_button,click,NULL,1
1361,209,"2017-08-19 16:48:45",0,video_end,ended,NULL,1
1362,209,"2017-08-19 16:49:22",0,next_button,click,NULL,1
1363,209,"2017-08-19 16:50:00",0,video_end,ended,NULL,1
1364,209,"2017-08-19 16:50:07",0,back_button,back,NULL,1
1365,209,"2017-08-19 16:50:44",0,video_end,ended,NULL,1
1366,209,"2017-08-19 16:50:45",0,back_button,back,NULL,1
1367,209,"2017-08-19 16:51:22",0,video_end,ended,NULL,1
1368,209,"2017-08-19 16:52:03",0,next_button,click,NULL,1
1369,209,"2017-08-19 16:52:50",0,video_end,ended,NULL,1
1370,209,"2017-08-19 16:52:53",0,next_button,click,NULL,1
1371,209,"2017-08-19 16:53:17",0,play_pause_button,pause,NULL,1
1372,209,"2017-08-19 16:53:24",0,play_pause_button,play,NULL,1
1373,209,"2017-08-19 16:53:56",0,video_end,ended,NULL,1
1374,209,"2017-08-19 16:54:31",0,next_button,click,NULL,1
1375,209,"2017-08-19 16:54:47",0,video_end,ended,NULL,1
1376,209,"2017-08-19 16:55:01",0,next_button,click,NULL,1
1377,209,"2017-08-19 16:55:39",0,video_end,ended,NULL,1
1378,209,"2017-08-19 16:56:28",0,next_button,click,NULL,1
1379,211,"2017-08-19 16:57:00",0,play_pause_button,play,NULL,1
1380,209,"2017-08-19 16:57:03",0,cardView,toggle,NULL,1
1381,211,"2017-08-19 16:57:06",0,full_screen_button,fullscreen,NULL,1
1382,209,"2017-08-19 16:57:11",0,cardView,toggle,NULL,1
1383,209,"2017-08-19 16:57:13",0,video_end,ended,NULL,1
1384,211,"2017-08-19 16:57:33",0,select_recipe,mullet,NULL,1
1385,211,"2017-08-19 16:57:39",0,experience_level,not_really,NULL,1
1386,211,"2017-08-19 16:57:46",0,cook_reason,learn,NULL,1
1387,211,"2017-08-19 16:57:49",0,cooking_for,1,NULL,1
1388,209,"2017-08-19 16:57:59",0,next_button,click,NULL,1
1389,209,"2017-08-19 16:58:31",0,video_end,ended,NULL,1
1390,211,"2017-08-19 16:59:29",0,confirm_cook,click,NULL,1
1391,209,"2017-08-19 16:59:43",0,next_button,click,NULL,1
1392,209,"2017-08-19 17:01:03",0,video_end,ended,NULL,1
1393,211,"2017-08-19 17:01:15",0,play_pause_button,play,NULL,1
1394,211,"2017-08-19 17:01:52",0,select_recipe,mullet,NULL,1
1395,211,"2017-08-19 17:01:59",0,experience_level,not_really,NULL,1
1396,211,"2017-08-19 17:02:01",0,cook_reason,learn,NULL,1
1397,211,"2017-08-19 17:02:03",0,cooking_for,1,NULL,1
1398,211,"2017-08-19 17:02:05",0,confirm_cook,click,NULL,1
1399,209,"2017-08-19 17:02:20",0,back_button,back,NULL,1
1400,211,"2017-08-19 17:02:21",0,video_end,ended,NULL,1
1401,211,"2017-08-19 17:02:27",0,next_button,click,NULL,1
1402,209,"2017-08-19 17:03:38",0,video_end,ended,NULL,1
1403,209,"2017-08-19 17:03:43",0,next_button,click,NULL,1
1404,211,"2017-08-19 17:03:58",0,video_end,ended,NULL,1
1405,211,"2017-08-19 17:04:25",0,next_button,click,NULL,1
1406,209,"2017-08-19 17:04:32",0,video_end,ended,NULL,1
1407,211,"2017-08-19 17:04:54",0,video_end,ended,NULL,1
1408,211,"2017-08-19 17:05:39",0,next_button,click,NULL,1
1409,209,"2017-08-19 17:05:40",0,next_button,click,NULL,1
1410,209,"2017-08-19 17:06:43",0,video_end,ended,NULL,1
1411,209,"2017-08-19 17:07:47",0,next_button,click,NULL,1
1412,211,"2017-08-19 17:08:12",0,video_end,ended,NULL,1
1413,209,"2017-08-19 17:10:21",0,video_end,ended,NULL,1
1414,211,"2017-08-19 17:11:46",0,next_button,click,NULL,1
1415,209,"2017-08-19 17:11:52",0,next_button,click,NULL,1
1416,211,"2017-08-19 17:12:25",0,video_end,ended,NULL,1
1417,209,"2017-08-19 17:12:31",0,video_end,ended,NULL,1
1418,209,"2017-08-19 17:12:45",0,next_button,click,NULL,1
1419,211,"2017-08-19 17:13:50",0,next_button,click,NULL,1
1420,209,"2017-08-19 17:14:27",0,video_end,ended,NULL,1
1421,211,"2017-08-19 17:14:37",0,video_end,ended,NULL,1
1422,209,"2017-08-19 17:15:32",0,next_button,click,NULL,1
1423,211,"2017-08-19 17:16:25",0,next_button,click,NULL,1
1424,209,"2017-08-19 17:16:43",0,video_end,ended,NULL,1
