id,participant_id,timestamp,pagetime,item,action,message
3491,205,"2017-08-23 18:44:26",0,back_button,rewind,
3492,205,"2017-08-23 18:44:28",0,back_button,rewind,
3493,205,"2017-08-23 18:44:29",0,next_button,click,
3494,205,"2017-08-23 18:44:29",0,next_button,click,
3498,109,"2017-08-23 18:45:43",0,next_button,click,
3500,109,"2017-08-23 18:46:36",0,back_button,rewind,
3501,109,"2017-08-23 18:46:37",0,back_button,rewind,
3502,109,"2017-08-23 18:46:41",0,next_button,click,
3503,109,"2017-08-23 18:46:43",0,next_button,click,
3504,109,"2017-08-23 18:46:44",0,next_button,click,
3505,109,"2017-08-23 18:47:07",0,next_button,click,
3506,109,"2017-08-23 18:47:20",0,next_button,click,
3508,205,"2017-08-23 18:48:21",0,next_button,click,
3510,205,"2017-08-23 18:49:26",0,next_button,click,
3511,205,"2017-08-23 18:49:29",0,back_button,rewind,
3512,205,"2017-08-23 18:49:29",0,back_button,rewind,
3513,205,"2017-08-23 18:49:30",0,back_button,rewind,
3514,205,"2017-08-23 18:49:30",0,back_button,rewind,
3515,205,"2017-08-23 18:49:32",0,next_button,click,
3516,205,"2017-08-23 18:49:32",0,next_button,click,
3517,205,"2017-08-23 18:49:32",0,next_button,click,
3518,205,"2017-08-23 18:49:32",0,next_button,click,
3520,205,"2017-08-23 18:51:20",0,next_button,click,
3521,109,"2017-08-23 18:51:23",0,next_button,click,
3524,205,"2017-08-23 18:52:36",0,next_button,click,
3526,205,"2017-08-23 18:56:19",0,next_button,click,
3528,205,"2017-08-23 18:57:14",0,next_button,click,
3530,205,"2017-08-23 18:57:19",0,next_button,click,
3982,121,"2017-08-25 16:08:16",0,full_screen_button,fullscreen,
3983,121,"2017-08-25 16:08:33",0,play_pause_button,play,
3984,121,"2017-08-25 16:09:23",0,play_pause_button,pause,
3985,121,"2017-08-25 16:09:24",0,play_pause_button,play,
3986,121,"2017-08-25 16:09:43",0,full_screen_button,collapsed,
3987,121,"2017-08-25 16:09:50",0,select_recipe,choc_pots,
3988,121,"2017-08-25 16:09:56",0,experience_level,not_really,
3989,121,"2017-08-25 16:10:02",0,cook_reason,learn,
3990,121,"2017-08-25 16:10:07",0,cooking_for,4,
3991,121,"2017-08-25 16:11:30",0,not_quite_button,click,
3992,121,"2017-08-25 16:17:21",0,experience_level,lots,
3993,121,"2017-08-25 16:17:23",0,cook_reason,learn,
3994,121,"2017-08-25 16:17:27",0,cooking_for,2,
3995,121,"2017-08-25 16:17:38",0,play_pause_button,play,
3996,121,"2017-08-25 16:17:40",0,select_recipe,choc_pots,
3997,121,"2017-08-25 16:17:43",0,experience_level,lots,
3998,121,"2017-08-25 16:17:45",0,cook_reason,learn,
3999,121,"2017-08-25 16:17:47",0,cooking_for,4,
4000,121,"2017-08-25 16:17:49",0,confirm_cook,click,
4001,121,"2017-08-25 16:18:02",0,cardView,toggle,
4002,121,"2017-08-25 16:18:17",0,next_button,click,
4003,121,"2017-08-25 16:20:24",0,next_button,click,
4004,121,"2017-08-25 16:21:07",0,next_button,click,
4005,121,"2017-08-25 16:21:13",0,back_button,rewind,
4006,121,"2017-08-25 16:24:50",0,next_button,click,
4007,121,"2017-08-25 16:24:56",0,next_button,click,
4008,121,"2017-08-25 16:25:00",0,next_button,click,
4009,121,"2017-08-25 16:28:19",0,next_button,click,
4010,121,"2017-08-25 16:29:30",0,next_button,click,
4011,121,"2017-08-25 16:31:17",0,next_button,click,
4014,121,"2017-08-25 16:33:08",0,next_button,click,
4016,121,"2017-08-25 16:33:24",0,back_button,rewind,
4018,121,"2017-08-25 16:33:36",0,next_button,click,
4019,121,"2017-08-25 16:33:37",0,next_button,click,
4020,121,"2017-08-25 16:33:40",0,next_button,click,
4021,121,"2017-08-25 16:33:42",0,next_button,click,
4022,121,"2017-08-25 16:33:43",0,next_button,click,
4023,121,"2017-08-25 16:33:45",0,back_button,rewind,
4024,121,"2017-08-25 16:33:45",0,back_button,rewind,
4025,121,"2017-08-25 16:33:46",0,back_button,rewind,
4026,121,"2017-08-25 16:34:33",0,back_button,rewind,
4027,121,"2017-08-25 16:34:34",0,back_button,rewind,
4028,121,"2017-08-25 16:34:35",0,back_button,rewind,
4029,121,"2017-08-25 16:34:36",0,back_button,rewind,
4030,121,"2017-08-25 16:34:37",0,back_button,rewind,
4031,121,"2017-08-25 16:34:38",0,back_button,rewind,
4032,121,"2017-08-25 16:34:39",0,next_button,click,
4033,121,"2017-08-25 16:34:40",0,next_button,click,
4034,121,"2017-08-25 16:34:40",0,next_button,click,
4035,121,"2017-08-25 16:34:40",0,next_button,click,
4036,121,"2017-08-25 16:34:41",0,next_button,click,
4037,121,"2017-08-25 16:34:43",0,next_button,click,
4038,121,"2017-08-25 16:34:44",0,next_button,click,
4039,121,"2017-08-25 16:34:45",0,next_button,click,
4040,121,"2017-08-25 16:34:49",0,back_button,rewind,
4041,121,"2017-08-25 16:35:04",0,back_button,rewind,
4042,121,"2017-08-25 16:49:58",0,next_button,click,
4043,121,"2017-08-25 16:49:58",0,next_button,click,
4044,121,"2017-08-25 16:49:58",0,next_button,click,
4045,121,"2017-08-25 16:50:00",0,next_button,click,
4046,121,"2017-08-25 16:50:02",0,next_button,click,
4047,121,"2017-08-25 16:50:06",0,next_button,click,
4048,121,"2017-08-25 16:51:27",0,full_screen_button,fullscreen,
4049,121,"2017-08-25 16:51:28",0,full_screen_button,collapsed,
4349,112,"2017-08-25 18:06:24",0,play_pause_button,play,
4350,112,"2017-08-25 18:06:42",0,full_screen_button,fullscreen,
4352,112,"2017-08-25 18:07:20",0,play_pause_button,pause,
4353,112,"2017-08-25 18:07:22",0,full_screen_button,collapsed,
4393,112,"2017-08-25 18:11:46",0,play_pause_button,play,
4395,112,"2017-08-25 18:11:47",0,play_pause_button,pause,
4396,112,"2017-08-25 18:11:58",0,play_pause_button,play,
4397,112,"2017-08-25 18:12:00",0,full_screen_button,fullscreen,
4404,112,"2017-08-25 18:12:37",0,full_screen_button,fullscreen,
4405,112,"2017-08-25 18:12:40",0,play_pause_button,play,
4407,112,"2017-08-25 18:13:35",0,select_recipe,choc_pots,
4409,112,"2017-08-25 18:14:03",0,play_pause_button,play,
4411,112,"2017-08-25 18:14:16",0,select_recipe,choc_pots,
4412,112,"2017-08-25 18:14:22",0,experience_level,not_really,
4413,112,"2017-08-25 18:14:33",0,full_screen_button,fullscreen,
4414,112,"2017-08-25 18:14:36",0,cook_reason,dinner,
4415,112,"2017-08-25 18:14:40",0,cooking_for,2,
4417,112,"2017-08-25 18:15:53",0,not_quite_button,click,
4418,112,"2017-08-25 18:15:55",0,select_recipe,deselect,
4420,112,"2017-08-25 18:15:58",0,select_recipe,choc_pots,
4421,112,"2017-08-25 18:16:02",0,experience_level,not_really,
4422,112,"2017-08-25 18:16:05",0,cook_reason,dinner,
4423,112,"2017-08-25 18:16:07",0,cooking_for,2,
4424,112,"2017-08-25 18:16:13",0,confirm_cook,click,
4425,112,"2017-08-25 18:16:21",0,cardView,toggle,
4427,112,"2017-08-25 18:17:22",0,next_button,click,
4428,112,"2017-08-25 18:17:50",0,next_button,click,
4429,112,"2017-08-25 18:17:55",0,back_button,rewind,
4434,112,"2017-08-25 18:20:29",0,next_button,click,
4437,112,"2017-08-25 18:24:23",0,back_button,rewind,
4438,112,"2017-08-25 18:24:24",0,back_button,rewind,
4439,112,"2017-08-25 18:24:25",0,back_button,rewind,
4440,112,"2017-08-25 18:24:27",0,back_button,rewind,
4441,112,"2017-08-25 18:24:28",0,back_button,rewind,
4442,112,"2017-08-25 18:24:34",0,back_button,rewind,
4443,112,"2017-08-25 18:24:38",0,next_button,click,
4444,112,"2017-08-25 18:24:40",0,next_button,click,
4445,112,"2017-08-25 18:26:12",0,next_button,click,
4446,112,"2017-08-25 18:31:40",0,next_button,click,
4447,112,"2017-08-25 18:32:43",0,next_button,click,
4448,112,"2017-08-25 18:32:44",0,next_button,click,
4449,112,"2017-08-25 18:32:54",0,back_button,rewind,
4450,112,"2017-08-25 18:32:57",0,next_button,click,
4451,112,"2017-08-25 18:32:58",0,next_button,click,
4452,112,"2017-08-25 18:33:02",0,next_button,click,
4453,112,"2017-08-25 18:33:05",0,next_button,click,
4454,112,"2017-08-25 18:33:07",0,next_button,click,
4455,112,"2017-08-25 18:33:10",0,next_button,click,
4456,112,"2017-08-25 18:33:14",0,next_button,click,
4457,112,"2017-08-25 18:33:16",0,back_button,rewind,
4458,112,"2017-08-25 18:33:19",0,back_button,rewind,
4459,112,"2017-08-25 18:33:23",0,back_button,rewind,
4460,112,"2017-08-25 18:33:25",0,back_button,rewind,
4461,112,"2017-08-25 18:33:32",0,back_button,rewind,
4462,112,"2017-08-25 18:33:33",0,back_button,rewind,
4463,112,"2017-08-25 18:33:38",0,back_button,rewind,
4464,112,"2017-08-25 18:33:43",0,back_button,rewind,
4465,112,"2017-08-25 18:35:34",0,next_button,click,
4466,112,"2017-08-25 18:38:38",0,next_button,click,
4467,112,"2017-08-25 18:40:11",0,next_button,click,
4468,112,"2017-08-25 18:42:51",0,next_button,click,
4469,112,"2017-08-25 18:42:58",0,next_button,click,
4470,112,"2017-08-25 18:43:07",0,back_button,rewind,
4471,112,"2017-08-25 18:44:02",0,next_button,click,
4472,112,"2017-08-25 18:44:14",0,next_button,click,
4473,112,"2017-08-25 18:44:19",0,next_button,click,
4474,112,"2017-08-25 18:44:24",0,back_button,rewind,
4475,112,"2017-08-25 18:44:25",0,back_button,rewind,
4476,112,"2017-08-25 18:46:53",0,next_button,click,
4477,112,"2017-08-25 18:47:15",0,next_button,click,
4478,112,"2017-08-25 18:47:41",0,next_button,click,
4479,112,"2017-08-25 18:47:46",0,next_button,click,
4480,112,"2017-08-25 18:47:51",0,back_button,rewind,
4481,112,"2017-08-25 18:47:53",0,back_button,rewind,
4482,112,"2017-08-25 18:47:57",0,next_button,click,
4483,112,"2017-08-25 18:52:50",0,next_button,click,
4484,112,"2017-08-25 18:52:55",0,next_button,click,
4485,112,"2017-08-25 18:53:06",0,next_button,click,
